cell,chr22_d,chr17_d,retention_pct,sign_preserved
M1_dir_refA,0.3020875950999115,0.3327983771629854,110.16618443167674,True
M1_dir_refB,0.1462485213265177,0.17262711150888457,118.03682522264513,True
M1_dir_refC,-0.0994946738427132,-0.10473548223246845,105.26742607151034,True
M2_mag_refA,0.1736496946251537,0.18814389940558213,108.34680695046204,True
M2_mag_refB_diag,,0.0,,
M2_mag_refC_diag,,0.0,,
M3_geo_a0.0_b1.0,-1.0536267652488869,-0.7750090067588755,73.55631351826977,True
M3_geo_a0.5_b1.0,-0.8886257644927701,-0.8018664749902424,90.23668984524097,True
M3_geo_a1.0_b1.0,-0.6439545346631054,-0.5598666968107991,86.9419604450339,True
M3_geo_a1.0_b0.5,-0.3717596725997653,-0.3162702511961632,85.07384595656728,True
M3_geo_a1.0_b0.0,0.1537396537043952,0.13676591867134935,88.95942938333768,True
M4_set_refA,-0.1545170292908316,-0.1804806681662561,116.8030921863996,True
M4_set_refB,,0.0,,
M4_set_refC,,0.0,,
M5_tau_refA,-0.1549281865386943,-0.18283828961433277,118.01486462804993,True
M5_tau_refB,-0.4366854891020849,-0.4246129991589159,97.23542681301537,True
M5_tau_refC,0.0246138006376178,0.0022471760235668378,9.129740086268637,True
