cell,gamma,donor_n,intron_n,donor_mean,intron_mean,cohen_d
M1_dir_refA,q50,5264,199263,28.798062310030396,28.613099270812945,0.4144200013699268
M1_dir_refB,q50,5264,199263,28.88506838905775,28.743534926203058,0.3701354424023514
M1_dir_refC,q50,5264,199263,4.678761398176292,4.536351455112088,0.07639174737129784
M2_mag_refA,q50,5264,199263,28.96523556231003,28.81161580423862,0.5031191627959178
M3_geo_a1.0_b0.0,q50,5264,199263,2.760448328267477,2.2266953724474687,0.2182955279253687
M3_geo_a0.0_b1.0,q50,2757,68089,13.774755168661589,21.394938976927257,-0.81208949069153
M3_geo_a1.0_b1.0,q50,3988,133537,10.939819458375126,16.398601136763595,-0.6995021880574492
M3_geo_a1.0_b0.5,q50,5205,198129,10.282804995196926,12.658914141796506,-0.3590866176759129
M3_geo_a0.5_b1.0,q50,2445,56980,9.287116564417177,16.48071253071253,-0.8458432915077743
M4_set_refA,q50,5264,199263,12.588145896656535,16.4201833757396,-0.2666177839576912
M4_set_refB,q50,5264,199263,0.0,0.0,0.0
M4_set_refC,q50,5264,199263,0.0,0.0,0.0
M5_tau_refA,q50,5264,199263,1.2391717325227964,5.214746340263872,-0.4571145961498181
M5_tau_refC,q50,5264,199263,27.330357142857142,27.379182286726586,-0.022745483343316688
M5_tau_refB,q50,0,0,,,
M1_dir_refA,q70,5264,199263,28.677241641337385,28.41950587916472,0.5361653475642042
M1_dir_refB,q70,5264,199263,28.728343465045594,28.512438335265454,0.45631354821771325
M1_dir_refC,q70,5264,199263,4.377089665653496,4.348599589487261,0.016878326629864774
M2_mag_refA,q70,5264,199263,28.830357142857142,28.627873714638444,0.46790226005544977
M3_geo_a1.0_b0.0,q70,5264,199263,1.6362082066869301,1.0807927211775392,0.3053476335895571
M3_geo_a0.0_b1.0,q70,3778,109774,15.0643197458973,21.77755206150819,-0.7331208840525425
M3_geo_a1.0_b1.0,q70,4632,164730,11.142918825561313,16.08515145996479,-0.624339814608204
M3_geo_a1.0_b0.5,q70,5246,199106,9.229889439573007,11.398481211013229,-0.33372910563721353
M3_geo_a0.5_b1.0,q70,3086,84321,9.848023331173039,17.015571447207694,-0.84248351397179
M4_set_refA,q70,5264,199263,9.287613981762918,12.469364608582627,-0.22808496762976696
M4_set_refB,q70,5264,199263,0.0,0.0,0.0
M4_set_refC,q70,5264,199263,0.0,0.0,0.0
M5_tau_refA,q70,5264,199263,0.5619300911854104,3.2312923121703476,-0.3873665319651668
M5_tau_refC,q70,5264,199263,26.962575987841944,26.994334121236758,-0.010516438392813894
M5_tau_refB,q70,0,0,,,
M1_dir_refA,q90,5264,199263,28.39741641337386,28.13971986771252,0.6076321375310295
M1_dir_refB,q90,5264,199263,28.42230243161094,28.153003819073284,0.6221026120711444
M1_dir_refC,q90,5264,199263,3.9038753799392096,4.0360779472355635,-0.095112957139671
M2_mag_refA,q90,5264,199263,28.414133738601823,28.201191390273156,0.4741501832358949
M3_geo_a1.0_b0.0,q90,5264,199263,0.8020516717325228,0.40750666204965297,0.33863947159050944
M3_geo_a0.0_b1.0,q90,4749,161918,14.930090545377974,21.423677416964143,-0.7084682617944109
M3_geo_a1.0_b1.0,q90,5077,189081,10.7742761473311,15.068505032234862,-0.5354921920912227
M3_geo_a1.0_b0.5,q90,5263,199259,7.46893406802204,9.181176258036023,-0.2804341681818922
M3_geo_a0.5_b1.0,q90,3899,124247,10.418568863811233,17.094778948385073,-0.7773371717866828
M4_set_refA,q90,5264,199263,4.307940729483283,5.883500700079794,-0.14312083059907155
M4_set_refB,q90,5264,199263,0.0,0.0,0.0
M4_set_refC,q90,5264,199263,0.0,0.0,0.0
M5_tau_refA,q90,5264,199263,0.270516717325228,1.5490331872951828,-0.26049200258719396
M5_tau_refC,q90,5264,199263,25.496960486322187,25.41606821135886,0.013379221004169415
M5_tau_refB,q90,0,0,,,
