cell,gamma,range_min,range_max,never_settled_pct
M1_dir_refA,q50,28,29,0.0
M1_dir_refB,q50,28,29,0.0
M1_dir_refC,q50,0,30,0.0
M2_mag_refA,q50,28,29,0.0
M3_geo_a1.0_b0.0,q50,0,13,0.0
M3_geo_a0.0_b1.0,q50,2,25,62.71216666666667
M3_geo_a1.0_b1.0,q50,2,24,31.240833333333335
M3_geo_a1.0_b0.5,q50,2,24,0.3395
M3_geo_a0.5_b1.0,q50,2,24,68.55866666666667
M4_set_refA,q50,0,29,0.0
M4_set_refB,q50,0,0,0.0
M4_set_refC,q50,0,0,0.0
M5_tau_refA,q50,0,28,0.0
M5_tau_refC,q50,0,28,0.0
M5_tau_refB,q50,-1,-1,100.0
M1_dir_refA,q70,28,29,0.0
M1_dir_refB,q70,28,29,0.0
M1_dir_refC,q70,0,30,0.0
M2_mag_refA,q70,28,29,0.0
M3_geo_a1.0_b0.0,q70,0,10,0.0
M3_geo_a0.0_b1.0,q70,2,25,43.0325
M3_geo_a1.0_b1.0,q70,2,24,16.236833333333333
M3_geo_a1.0_b0.5,q70,1,24,0.043
M3_geo_a0.5_b1.0,q70,2,24,54.754333333333335
M4_set_refA,q70,0,29,0.0
M4_set_refB,q70,0,0,0.0
M4_set_refC,q70,0,0,0.0
M5_tau_refA,q70,0,28,0.0
M5_tau_refC,q70,0,28,0.0
M5_tau_refB,q70,-1,-1,100.0
M1_dir_refA,q90,28,29,0.0
M1_dir_refB,q90,19,29,0.0
M1_dir_refC,q90,0,30,0.0
M2_mag_refA,q90,28,29,0.0
M3_geo_a1.0_b0.0,q90,0,10,0.0
M3_geo_a0.0_b1.0,q90,0,25,18.499166666666667
M3_geo_a1.0_b1.0,q90,2,24,4.677166666666667
M3_geo_a1.0_b0.5,q90,1,24,0.0015
M3_geo_a0.5_b1.0,q90,2,24,35.211333333333336
M4_set_refA,q90,0,29,0.0
M4_set_refB,q90,0,0,0.0
M4_set_refC,q90,0,0,0.0
M5_tau_refA,q90,0,28,0.0
M5_tau_refC,q90,0,28,0.0
M5_tau_refB,q90,-1,-1,100.0
