cell,mean,median,std,n_total,n_settled,n_never,pct_never
M1_dir_refA,28.446105036728824,28.0,0.497086846470512,77868000,77868000,0,0.0
M1_dir_refB,28.555631812811423,29.0,0.4968954632549135,77868000,77868000,0,0.0
M1_dir_refC,4.495140468485129,5.0,1.1052111298487408,77868000,77868000,0,0.0
M2_mag_refA,28.647833204910874,29.0,0.47764562546492634,77868000,77868000,0,0.0
M2_mag_refB_diag,0.0,0.0,0.0,77868000,77868000,0,0.0
M2_mag_refC_diag,0.0,0.0,0.0,77868000,77868000,0,0.0
M3_geo_a1.0_b0.0,1.2496996712385062,1.0,1.802228362653466,77868000,77868000,0,0.0
M3_geo_a0.0_b1.0,20.750639851153387,25.0,8.270368983390961,77868000,42139488,35728512,45.88343350285098
M3_geo_a1.0_b1.0,15.192404472449097,18.0,7.610264561347088,77868000,66941578,10926422,14.031979760620537
M3_geo_a1.0_b0.5,10.369193135942831,9.0,5.563838141304324,77868000,77844340,23660,0.03038475368572456
M3_geo_a0.5_b1.0,15.98922616776488,23.0,8.721828740106131,77868000,35363647,42504353,54.58513510042636
M4_set_refA,12.661466494580573,0.0,14.381929629974922,77868000,77868000,0,0.0
M4_set_refB,0.0,0.0,0.0,77868000,77868000,0,0.0
M4_set_refC,0.0,0.0,0.0,77868000,77868000,0,0.0
M5_tau_refA,3.152698836492526,0.0,8.82272543203346,77868000,77868000,0,0.0
M5_tau_refB,24.662325871988493,27.0,4.073962020427028,77868000,77868000,0,0.0
M5_tau_refC,26.95232158267838,27.0,2.658300384945432,77868000,77868000,0,0.0
