cell,n_donor,n_intron,donor_mean,intron_mean,cohens_d_donor_minus_intron,mannwhitney_p
M1_dir_refA,187236,41477463,28.56173492277126,28.412990519694997,0.30208759509991157,0.0
M1_dir_refB,187236,41477463,28.58574205815121,28.51264591568679,0.14624852132651778,0.0
M1_dir_refC,187236,41477463,4.440978230682134,4.545058674393851,-0.09949467384271328,0.0
M2_mag_refA,187236,41477463,28.683789442201284,28.598691896850102,0.17364969462515378,0.0
M2_mag_refB_diag,187236,41477463,0.0,0.0,,1.0
M2_mag_refC_diag,187236,41477463,0.0,0.0,,1.0
M3_geo_a1.0_b0.0,187236,41477463,1.467864085966374,1.188424132883923,0.15373965370439524,0.0
M3_geo_a0.0_b1.0,132548,22389330,15.655370130066089,22.53481024220019,-1.0536267652488869,0.0
M3_geo_a1.0_b1.0,161925,34917392,12.042606144820132,16.529297634829085,-0.6439545346631054,0.0
M3_geo_a1.0_b0.5,186971,41457682,9.26796134159843,11.296242033020564,-0.37175967259976533,0.0
M3_geo_a0.5_b1.0,107315,17040921,11.194586031775614,18.065461485326995,-0.8886257644927701,0.0
M4_set_refA,187236,41477463,9.68390694097289,11.887170027732893,-0.1545170292908316,0.0
M4_set_refB,187236,41477463,0.0,0.0,,1.0
M4_set_refC,187236,41477463,0.0,0.0,,1.0
M5_tau_refA,187236,41477463,2.246747420367878,3.711870299299646,-0.15492818653869433,0.0
M5_tau_refB,187236,41477463,22.70715567519067,24.521970015379196,-0.43668548910208493,0.0
M5_tau_refC,187236,41477463,27.01127988207396,26.946142487065806,0.024613800637617825,0.0
