layer,feature,AUROC,n_pos,n_neg
0,delta_h_norm_2,0.6402493528967605,3514,4494
1,delta_h_norm_2,0.6794328186649423,3514,4494
2,delta_h_norm_2,0.6794735040383952,3514,4494
3,delta_h_norm_2,0.6969279725145447,3514,4494
4,delta_h_norm_2,0.7489428768491423,3514,4494
5,delta_h_norm_2,0.8085882675667727,3514,4494
6,delta_h_norm_2,0.8311368297551734,3514,4494
7,delta_h_norm_2,0.8525964170528768,3514,4494
8,delta_h_norm_2,0.8550146163391448,3514,4494
9,delta_h_norm_2,0.8494242877178424,3514,4494
10,delta_h_norm_2,0.8456754392563892,3514,4494
11,delta_h_norm_2,0.8455635465639508,3514,4494
12,delta_h_norm_2,0.8442230822403056,3514,4494
13,delta_h_norm_2,0.8373781243517253,3514,4494
14,delta_h_norm_2,0.8340950521773293,3514,4494
15,delta_h_norm_2,0.832105933187588,3514,4494
16,delta_h_norm_2,0.8271596682758445,3514,4494
17,delta_h_norm_2,0.8232512128357319,3514,4494
18,delta_h_norm_2,0.8202164955791305,3514,4494
19,delta_h_norm_2,0.819875941589355,3514,4494
20,delta_h_norm_2,0.813096301930684,3514,4494
21,delta_h_norm_2,0.8051741473295577,3514,4494
22,delta_h_norm_2,0.8059940921671569,3514,4494
23,delta_h_norm_2,0.7993912834896031,3514,4494
24,delta_h_norm_2,0.772267437339459,3514,4494
25,delta_h_norm_2,0.772480806002261,3514,4494
26,delta_h_norm_2,0.8083903815091215,3514,4494
27,delta_h_norm_2,0.8071371453596892,3514,4494
28,delta_h_norm_2,0.7344532797666856,3514,4494
29,delta_h_norm_2,0.7921242742172641,3514,4494
30,delta_h_norm_2,0.7505437592246565,3514,4494
31,delta_h_norm_2,0.7505437592246565,3514,4494
0,delta_h_norm_1,0.6201002778890161,3514,4494
1,delta_h_norm_1,0.676504041688165,3514,4494
2,delta_h_norm_1,0.6744742689867398,3514,4494
3,delta_h_norm_1,0.6854051148701652,3514,4494
4,delta_h_norm_1,0.730420108617599,3514,4494
5,delta_h_norm_1,0.799464548823588,3514,4494
6,delta_h_norm_1,0.8271201227260834,3514,4494
7,delta_h_norm_1,0.8533199834649576,3514,4494
8,delta_h_norm_1,0.8558793625801961,3514,4494
9,delta_h_norm_1,0.8503055614024289,3514,4494
10,delta_h_norm_1,0.845689402096617,3514,4494
11,delta_h_norm_1,0.8450569899181327,3514,4494
12,delta_h_norm_1,0.8437787409710132,3514,4494
13,delta_h_norm_1,0.8368975620184405,3514,4494
14,delta_h_norm_1,0.833192343474978,3514,4494
15,delta_h_norm_1,0.8309421098744447,3514,4494
16,delta_h_norm_1,0.8257977689344347,3514,4494
17,delta_h_norm_1,0.8218882369941685,3514,4494
18,delta_h_norm_1,0.818651865929378,3514,4494
19,delta_h_norm_1,0.8182338989138493,3514,4494
20,delta_h_norm_1,0.81135379646143,3514,4494
21,delta_h_norm_1,0.8034316735220728,3514,4494
22,delta_h_norm_1,0.8043597116398035,3514,4494
23,delta_h_norm_1,0.7985404367652411,3514,4494
24,delta_h_norm_1,0.7706467663581797,3514,4494
25,delta_h_norm_1,0.7711524048126902,3514,4494
26,delta_h_norm_1,0.8076740339804238,3514,4494
27,delta_h_norm_1,0.8059095869050976,3514,4494
28,delta_h_norm_1,0.738707133447265,3514,4494
29,delta_h_norm_1,0.7926061663448565,3514,4494
30,delta_h_norm_1,0.7604607319339844,3514,4494
31,delta_h_norm_1,0.7604607319339844,3514,4494
0,delta_cos,0.6874772826805817,3514,4494
1,delta_cos,0.6558240937958383,3514,4494
2,delta_cos,0.6665987205099115,3514,4494
3,delta_cos,0.6930835371718036,3514,4494
4,delta_cos,0.7399349135342412,3514,4494
5,delta_cos,0.7186682413964207,3514,4494
6,delta_cos,0.765633251848604,3514,4494
7,delta_cos,0.8089785621959995,3514,4494
8,delta_cos,0.7846850882438838,3514,4494
9,delta_cos,0.794069984921399,3514,4494
10,delta_cos,0.8094126767138325,3514,4494
11,delta_cos,0.8133810362213172,3514,4494
12,delta_cos,0.8031614719835136,3514,4494
13,delta_cos,0.8090948242125908,3514,4494
14,delta_cos,0.8128811918705747,3514,4494
15,delta_cos,0.805620578275619,3514,4494
16,delta_cos,0.8005362047265195,3514,4494
17,delta_cos,0.8143090743390479,3514,4494
18,delta_cos,0.8160322344673059,3514,4494
19,delta_cos,0.8139356554328177,3514,4494
20,delta_cos,0.8180526036232716,3514,4494
21,delta_cos,0.8185375986042478,3514,4494
22,delta_cos,0.8174521698317038,3514,4494
23,delta_cos,0.8172122686062919,3514,4494
24,delta_cos,0.8068251186239845,3514,4494
25,delta_cos,0.8046124042199818,3514,4494
26,delta_cos,0.8230018130795529,3514,4494
27,delta_cos,0.8074482222423169,3514,4494
28,delta_cos,0.840850660553159,3514,4494
29,delta_cos,0.7820514622798146,3514,4494
30,delta_cos,0.807093198824006,3514,4494
31,delta_cos,0.807093198824006,3514,4494
