cell,AUROC,n_PLP,n_BLB
M1_dir_refA,0.5650761440220426,3514,4494
M1_dir_refC,0.5405339352109015,3514,4494
M2_mag_refA,0.5521363588813416,3514,4494
M3_geo_a1.0_b0.0,0.5461996505047266,3514,4494
M3_geo_a0.0_b1.0,0.5557163110912676,2301,3218
M3_geo_a1.0_b1.0,0.5415555360815708,2996,3885
M3_geo_a1.0_b0.5,0.5454183510730086,3507,4478
M3_geo_a0.5_b1.0,0.5584999578400386,2207,2934
M4_set_refA,0.6289887813486343,3514,4494
M5_tau_refA,0.49992765285732266,3514,4494
M5_tau_refC,0.6422745029798791,3514,4494
