cell,consequence,AUROC,n_PLP,n_BLB
M1_dir_refA,5utr,0.5826327349844732,162,489
M1_dir_refA,missense,0.4974889928453495,920,316
M1_dir_refA,intron,0.520161829859356,338,1592
M1_dir_refA,synonymous,0.6260120938813161,22,1774
M1_dir_refA,3utr,0.6131198347107438,16,121
M1_dir_refA,noncoding,0.5916928446771379,150,191
M1_dir_refC,5utr,0.5720922012673887,162,489
M1_dir_refC,missense,0.4976523802971932,920,316
M1_dir_refC,intron,0.5731319318485921,338,1592
M1_dir_refC,synonymous,0.527172799016091,22,1774
M1_dir_refC,3utr,0.5211776859504131,16,121
M1_dir_refC,noncoding,0.5796160558464224,150,191
M2_mag_refA,5utr,0.5611603423464363,162,489
M2_mag_refA,missense,0.5950330214639515,920,316
M2_mag_refA,intron,0.5305911956230859,338,1592
M2_mag_refA,synonymous,0.5295685149123706,22,1774
M2_mag_refA,3utr,0.5671487603305785,16,121
M2_mag_refA,noncoding,0.5235951134380454,150,191
M3_geo_a1.0_b0.0,5utr,0.5367277638920447,162,489
M3_geo_a1.0_b0.0,missense,0.5143385388002201,920,316
M3_geo_a1.0_b0.0,intron,0.6211233683208944,338,1592
M3_geo_a1.0_b0.0,synonymous,0.6294199036589115,22,1774
M3_geo_a1.0_b0.0,3utr,0.4909607438016529,16,121
M3_geo_a1.0_b0.0,noncoding,0.5307155322862128,150,191
M3_geo_a0.0_b1.0,5utr,0.5297042590857024,99,388
M3_geo_a0.0_b1.0,missense,0.5192062937062938,650,220
M3_geo_a0.0_b1.0,intron,0.5124410009796064,197,855
M3_geo_a0.0_b1.0,synonymous,0.48303273213092845,15,1497
M3_geo_a0.0_b1.0,3utr,0.5732323232323232,11,90
M3_geo_a0.0_b1.0,noncoding,0.5627204585537918,84,162
M3_geo_a1.0_b1.0,5utr,0.5635581395348838,150,430
M3_geo_a1.0_b1.0,missense,0.4939215519212919,829,269
M3_geo_a1.0_b1.0,intron,0.5532864356448596,249,1228
M3_geo_a1.0_b1.0,synonymous,0.5758527827648114,16,1671
M3_geo_a1.0_b1.0,3utr,0.7408963585434175,14,102
M3_geo_a1.0_b1.0,noncoding,0.6332718017564468,101,177
M3_geo_a1.0_b0.5,5utr,0.5413314612426634,162,488
M3_geo_a1.0_b0.5,missense,0.4989969543570772,916,314
M3_geo_a1.0_b0.5,intron,0.5951037560125376,338,1582
M3_geo_a1.0_b0.5,synonymous,0.5789872183152815,22,1771
M3_geo_a1.0_b0.5,3utr,0.5074896694214877,16,121
M3_geo_a1.0_b0.5,noncoding,0.6282019747707227,149,191
M3_geo_a0.5_b1.0,5utr,0.5742793791574281,110,369
M3_geo_a0.5_b1.0,missense,0.5163715759039017,636,211
M3_geo_a0.5_b1.0,intron,0.5267998651154949,180,659
M3_geo_a0.5_b1.0,synonymous,0.43658082531802667,11,1465
M3_geo_a0.5_b1.0,3utr,0.6555023923444976,11,76
M3_geo_a0.5_b1.0,noncoding,0.553001053001053,77,148
M4_set_refA,5utr,0.6721010376429599,162,489
M4_set_refA,missense,0.5781507980187122,920,316
M4_set_refA,intron,0.6151448812107876,338,1592
M4_set_refA,synonymous,0.486624987188685,22,1774
M4_set_refA,3utr,0.5069731404958677,16,121
M4_set_refA,noncoding,0.5462303664921466,150,191
M5_tau_refA,5utr,0.5294882476204903,162,489
M5_tau_refA,missense,0.5478088882773803,920,316
M5_tau_refA,intron,0.44839768368469574,338,1592
M5_tau_refA,synonymous,0.49911601926821764,22,1774
M5_tau_refA,3utr,0.5067148760330579,16,121
M5_tau_refA,noncoding,0.5655846422338568,150,191
M5_tau_refC,5utr,0.6740702870559723,162,489
M5_tau_refC,missense,0.6383048981838194,920,316
M5_tau_refC,intron,0.5788344458981297,338,1592
M5_tau_refC,synonymous,0.6485343855693348,22,1774
M5_tau_refC,3utr,0.6900826446280992,16,121
M5_tau_refC,noncoding,0.6258987783595114,150,191
