feature_type,layer,importance
log_dh_norm_2,0,0.01503265230095304
log_dh_norm_2,1,0.0009446528552392486
log_dh_norm_2,2,0.0021311664983510296
log_dh_norm_2,3,0.009620034182814444
log_dh_norm_2,4,0.002584944955741744
log_dh_norm_2,5,0.003957908326752571
log_dh_norm_2,6,0.0002883373922384021
log_dh_norm_2,7,0.11469889383304206
log_dh_norm_2,8,0.026083595233506472
log_dh_norm_2,9,0.0005216844971291871
log_dh_norm_2,10,0.03541983926542701
log_dh_norm_2,11,0.046195909116612935
log_dh_norm_2,12,0.0029074147155823443
log_dh_norm_2,13,0.0005086648369299735
log_dh_norm_2,14,0.000639961992870651
log_dh_norm_2,15,0.00012325700759620282
log_dh_norm_2,16,0.0007853849824560591
log_dh_norm_2,17,0.0007463720419311626
log_dh_norm_2,18,0.00011389785959415105
log_dh_norm_2,19,0.001165366883970462
log_dh_norm_2,20,0.0008990535688899188
log_dh_norm_2,21,0.0019474838064868366
log_dh_norm_2,22,0.0023720573900370533
log_dh_norm_2,23,0.0
log_dh_norm_2,24,0.014059033033161115
log_dh_norm_2,25,0.0019977190903866203
log_dh_norm_2,26,0.0004773763410195748
log_dh_norm_2,27,0.11922824833222091
log_dh_norm_2,28,0.013102022780422823
log_dh_norm_2,29,0.004487399711948677
log_dh_norm_2,30,0.0023264352757156196
log_dh_norm_2,31,0.002756340793073205
delta_cos,0,0.002937843155237018
delta_cos,1,0.001161958944794429
delta_cos,2,0.0014652702296765203
delta_cos,3,0.003157047843993643
delta_cos,4,0.004200888289953516
delta_cos,5,0.0025821454991801396
delta_cos,6,0.0004232560475401147
delta_cos,7,0.020658509561995175
delta_cos,8,0.0011609462979390234
delta_cos,9,0.0020763998266666943
delta_cos,10,9.754815308986543e-06
delta_cos,11,0.0008310720782386722
delta_cos,12,0.0005193941069136055
delta_cos,13,2.463704282842089e-06
delta_cos,14,0.0005274275905987882
delta_cos,15,0.0001328001773814905
delta_cos,16,0.0001823281245365722
delta_cos,17,0.0005302398896844034
delta_cos,18,0.0016695063626692042
delta_cos,19,0.0
delta_cos,20,4.1687881358861364e-05
delta_cos,21,0.0008807952677729767
delta_cos,22,0.0009882921374256034
delta_cos,23,0.012752915228113365
delta_cos,24,0.0011019601388985226
delta_cos,25,0.0020925913621107762
delta_cos,26,0.014066715739105562
delta_cos,27,0.03417345284592265
delta_cos,28,0.17130780998448933
delta_cos,29,0.0009646246365660892
delta_cos,30,0.16377880962917696
delta_cos,31,0.12549798370036677
